"display_name","first_name","id","last_name","party","state"
"Byrd (D-WV)","Robert","S017","Byrd","D","WV"
"Feingold (D-WI)","Russ","S230","Feingold","D","WI"
"Sanders (I-VT)","Bernard","S313","Sanders","I","VT"
"Clinton (D-NY)","Hillary","S278","Clinton","D","NY"
"McCain (R-AZ)","John","S197","McCain","R","AZ"
"Menendez (D-NJ)","Robert","S306","Menendez","D","NJ"
"Obama (D-IL)","Barack","S298","Obama","D","IL"
"Thune (R-SD)","John","S303","Thune","R","SD"
"Warner (R-VA)","John","S143","Warner","R","VA"
"Akaka (D-HI)","Daniel","S213","Akaka","D","HI"
"Alexander (R-TN)","Lamar","S289","Alexander","R","TN"
"Allard (R-CO)","A.","S250","Allard","R","CO"
"Barrasso (R-WY)","John","S317","Barrasso","R","WY"
"Baucus (D-MT)","Max","S127","Baucus","D","MT"
"Bayh (D-IN)","Evan","S264","Bayh","D","IN"
"Bennett (R-UT)","Robert","S231","Bennett","R","UT"
"Biden (D-DE)","Joseph","S010","Biden","D","DE"
"Bingaman (D-NM)","Jeff","S167","Bingaman","D","NM"
"Bond (R-MO)","Christopher","S200","Bond","R","MO"
"Boxer (D-CA)","Barbara","S223","Boxer","D","CA"
"Brown (D-OH)","Sherrod","S307","Brown","D","OH"
"Brownback (R-KS)","Samuel","S249","Brownback","R","KS"
"Bunning (R-KY)","Jim","S265","Bunning","R","KY"
"Burr (R-NC)","Richard","S300","Burr","R","NC"
"Cantwell (D-WA)","Maria","S275","Cantwell","D","WA"
"Cardin (D-MD)","Benjamin","S308","Cardin","D","MD"
"Carper (D-DE)","Thomas","S277","Carper","D","DE"
"Casey (D-PA)","Bob","S309","Casey","D","PA"
"Chambliss (R-GA)","Saxby","S290","Chambliss","R","GA"
"Coburn (R-OK)","Tom","S301","Coburn","R","OK"
"Cochran (R-MS)","Thad","S136","Cochran","R","MS"
"Coleman (R-MN)","Norm","S291","Coleman","R","MN"
"Collins (R-ME)","Susan","S252","Collins","R","ME"
"Conrad (D-ND)","Kent","S201","Conrad","D","ND"
"Corker (R-TN)","Bob","S310","Corker","R","TN"
"Cornyn (R-TX)","John","S287","Cornyn","R","TX"
"Craig (R-ID)","Larry","S215","Craig","R","ID"
"Crapo (R-ID)","Mike","S266","Crapo","R","ID"
"DeMint (R-SC)","James","S302","DeMint","R","SC"
"Dodd (D-CT)","Christopher","S150","Dodd","D","CT"
"Dole (R-NC)","Elizabeth","S292","Dole","R","NC"
"Domenici (R-NM)","Pete","S027","Domenici","R","NM"
"Dorgan (D-ND)","Byron","S222","Dorgan","D","ND"
"Durbin (D-IL)","Richard","S253","Durbin","D","IL"
"Ensign (R-NV)","John","S281","Ensign","R","NV"
"Enzi (R-WY)","Michael","S254","Enzi","R","WY"
"Feinstein (D-CA)","Dianne","S221","Feinstein","D","CA"
"Graham (R-SC)","Lindsey","S293","Graham","R","SC"
"Grassley (R-IA)","Charles","S153","Grassley","R","IA"
"Gregg (R-NH)","Judd","S224","Gregg","R","NH"
"Hagel (R-NE)","Chuck","S255","Hagel","R","NE"
"Harkin (D-IA)","Tom","S172","Harkin","D","IA"
"Hatch (R-UT)","Orrin","S118","Hatch","R","UT"
"Hutchison (R-TX)","Kay","S235","Hutchison","R","TX"
"Inhofe (R-OK)","Jim","S236","Inhofe","R","OK"
"Inouye (D-HI)","Daniel","S051","Inouye","D","HI"
"Isakson (R-GA)","Johnny","S305","Isakson","R","GA"
"Johnson (D-SD)","Tim","S257","Johnson","D","SD"
"Kennedy (D-MA)","Edward","S055","Kennedy","D","MA"
"Kerry (D-MA)","John","S173","Kerry","D","MA"
"Klobuchar (D-MN)","Amy","S311","Klobuchar","D","MN"
"Kohl (D-WI)","Herb","S209","Kohl","D","WI"
"Kyl (R-AZ)","Jon","S243","Kyl","R","AZ"
"Landrieu (D-LA)","Mary","S258","Landrieu","D","LA"
"Lautenberg (D-NJ)","Frank","S166","Lautenberg","D","NJ"
"Leahy (D-VT)","Patrick","S057","Leahy","D","VT"
"Levin (D-MI)","Carl","S131","Levin","D","MI"
"Lieberman (ID-CT)","Joe","S210","Lieberman","ID","CT"
"Lincoln (D-AR)","Blanche","S269","Lincoln","D","AR"
"Lugar (R-IN)","Richard","S105","Lugar","R","IN"
"Martinez (R-FL)","Mel","S304","Martinez","R","FL"
"McCaskill (D-MO)","Claire","S312","McCaskill","D","MO"
"McConnell (R-KY)","Mitch","S174","McConnell","R","KY"
"Mikulski (D-MD)","Barbara","S182","Mikulski","D","MD"
"Murkowski (R-AK)","Lisa","S288","Murkowski","R","AK"
"Murray (D-WA)","Patty","S229","Murray","D","WA"
"Nelson (D-FL)","Bill","S282","Nelson","D","FL"
"Nelson (D-NE)","E.","S283","Nelson","D","NE"
"Pryor (D-AR)","Mark","S295","Pryor","D","AR"
"Reed (D-RI)","John","S259","Reed","D","RI"
"Reid (D-NV)","Harry","S198","Reid","D","NV"
"Roberts (R-KS)","Pat","S260","Roberts","R","KS"
"Rockefeller (D-WV)","Jay","S176","Rockefeller","D","WV"
"Salazar (D-CO)","Ken","S297","Salazar","D","CO"
"Schumer (D-NY)","Charles","S270","Schumer","D","NY"
"Sessions (R-AL)","Jeff","S261","Sessions","R","AL"
"Shelby (R-AL)","Richard","S184","Shelby","R","AL"
"Smith (R-OR)","Gordon","S262","Smith","R","OR"
"Snowe (R-ME)","Olympia","S245","Snowe","R","ME"
"Specter (R-PA)","Arlen","S161","Specter","R","PA"
"Stabenow (D-MI)","Debbie","S284","Stabenow","D","MI"
"Stevens (R-AK)","Ted","S090","Stevens","R","AK"
"Sununu (R-NH)","John","S296","Sununu","R","NH"
"Tester (D-MT)","Jon","S314","Tester","D","MT"
"Vitter (R-LA)","David","S299","Vitter","R","LA"
"Voinovich (R-OH)","George","S271","Voinovich","R","OH"
