"display_name","first_name","id","last_name","party","state"
"Allen (R-VA)","George","S274","Allen","R","VA"
"Bond (R-MO)","Christopher","S200","Bond","R","MO"
"Breaux (D-LA)","John","S179","Breaux","D","LA"
"Gregg (R-NH)","Judd","S224","Gregg","R","NH"
"Inhofe (R-OK)","James","S236","Inhofe","R","OK"
"McCain (R-AZ)","John","S197","McCain","R","AZ"
"Akaka (D-HI)","Daniel","S213","Akaka","D","HI"
"Lieberman (D-CT)","Joseph","S210","Lieberman","D","CT"
"Miller (D-GA)","Zell","S273","Miller","D","GA"
"Murkowski (R-AK)","Frank","S157","Murkowski","R","AK"
"Sessions (R-AL)","Jeff","S261","Sessions","R","AL"
"Shelby (R-AL)","Richard","S184","Shelby","R","AL"
"Allard (R-CO)","Wayne","S250","Allard","R","CO"
"Baucus (D-MT)","Max","S127","Baucus","D","MT"
"Bayh (D-IN)","Evan","S264","Bayh","D","IN"
"Bennett (R-UT)","Robert","S231","Bennett","R","UT"
"Biden (D-DE)","Joseph","S010","Biden","D","DE"
"Bingaman (D-NM)","Jeff","S167","Bingaman","D","NM"
"Boxer (D-CA)","Barbara","S223","Boxer","D","CA"
"Brownback (R-KS)","Sam","S249","Brownback","R","KS"
"Bunning (R-KY)","Jim","S265","Bunning","R","KY"
"Burns (R-MT)","Conrad","S211","Burns","R","MT"
"Byrd (D-WV)","Robert","S017","Byrd","D","WV"
"Campbell (R-CO)","Ben","S225","Campbell","R","CO"
"Cantwell (D-WA)","Maria","S275","Cantwell","D","WA"
"Carnahan (D-MO)","Jean","S276","Carnahan","D","MO"
"Carper (D-DE)","Thomas","S277","Carper","D","DE"
"Chafee (R-RI)","Lincoln","S272","Chafee","R","RI"
"Cleland (D-GA)","Max","S251","Cleland","D","GA"
"Clinton (D-NY)","Hillary","S278","Clinton","D","NY"
"Cochran (R-MS)","Thad","S136","Cochran","R","MS"
"Collins (R-ME)","Susan","S252","Collins","R","ME"
"Conrad (D-ND)","Kent","S201","Conrad","D","ND"
"Corzine (D-NJ)","Jon","S279","Corzine","D","NJ"
"Craig (R-ID)","Larry","S215","Craig","R","ID"
"Crapo (R-ID)","Michael","S266","Crapo","R","ID"
"Daschle (D-SD)","Thomas","S185","Daschle","D","SD"
"Dayton (D-MN)","Mark","S280","Dayton","D","MN"
"DeWine (R-OH)","Mike","S240","DeWine","R","OH"
"Dodd (D-CT)","Christopher","S150","Dodd","D","CT"
"Domenici (R-NM)","Pete","S027","Domenici","R","NM"
