"display_name","first_name","id","last_name","party","state"
"Bayh (D-IN)","Evan","S264","Bayh","D","IN"
"Biden (D-DE)","Joseph","S010","Biden","D","DE"
"Boxer (D-CA)","Barbara","S223","Boxer","D","CA"
"Clinton (D-NY)","Hillary","S278","Clinton","D","NY"
"Dayton (D-MN)","Mark","S280","Dayton","D","MN"
"Dodd (D-CT)","Christopher","S150","Dodd","D","CT"
"Durbin (D-IL)","Richard","S253","Durbin","D","IL"
"Feingold (D-WI)","Russ","S230","Feingold","D","WI"
"Feinstein (D-CA)","Dianne","S221","Feinstein","D","CA"
"Jeffords (I-VT)","James","S204","Jeffords","I","VT"
"Kennedy (D-MA)","Edward","S055","Kennedy","D","MA"
"Kerry (D-MA)","John","S173","Kerry","D","MA"
"Lautenberg (D-NJ)","Frank","S166","Lautenberg","D","NJ"
"Leahy (D-VT)","Patrick","S057","Leahy","D","VT"
"Levin (D-MI)","Carl","S131","Levin","D","MI"
"Menendez (D-NJ)","Robert","S306","Menendez","D","NJ"
"Mikulski (D-MD)","Barbara","S182","Mikulski","D","MD"
"Murray (D-WA)","Patty","S229","Murray","D","WA"
"Obama (D-IL)","Barack","S298","Obama","D","IL"
"Reed (D-RI)","John","S259","Reed","D","RI"
"Reid (D-NV)","Harry","S198","Reid","D","NV"
"Sarbanes (D-MD)","Paul","S106","Sarbanes","D","MD"
"Schumer (D-NY)","Charles","S270","Schumer","D","NY"
"Stabenow (D-MI)","Debbie","S284","Stabenow","D","MI"
"Wyden (D-OR)","Ron","S247","Wyden","D","OR"
"Ensign (R-NV)","John","S281","Ensign","R","NV"
"Hagel (R-NE)","Chuck","S255","Hagel","R","NE"
"Harkin (D-IA)","Tom","S172","Harkin","D","IA"
"Akaka (D-HI)","Daniel","S213","Akaka","D","HI"
"Alexander (R-TN)","Lamar","S289","Alexander","R","TN"
"Allard (R-CO)","A.","S250","Allard","R","CO"
"Allen (R-VA)","George","S274","Allen","R","VA"
"Baucus (D-MT)","Max","S127","Baucus","D","MT"
"Bennett (R-UT)","Robert","S231","Bennett","R","UT"
"Bingaman (D-NM)","Jeff","S167","Bingaman","D","NM"
"Bond (R-MO)","Christopher","S200","Bond","R","MO"
"Brownback (R-KS)","Samuel","S249","Brownback","R","KS"
"Bunning (R-KY)","Jim","S265","Bunning","R","KY"
"Burns (R-MT)","Conrad","S211","Burns","R","MT"
"Burr (R-NC)","Richard","S300","Burr","R","NC"
"Byrd (D-WV)","Robert","S017","Byrd","D","WV"
"Cantwell (D-WA)","Maria","S275","Cantwell","D","WA"
"Carper (D-DE)","Thomas","S277","Carper","D","DE"
"Chafee (R-RI)","Lincoln","S272","Chafee","R","RI"
"Chambliss (R-GA)","Saxby","S290","Chambliss","R","GA"
"Coburn (R-OK)","Tom","S301","Coburn","R","OK"
"Cochran (R-MS)","Thad","S136","Cochran","R","MS"
"Coleman (R-MN)","Norm","S291","Coleman","R","MN"
"Collins (R-ME)","Susan","S252","Collins","R","ME"
"Conrad (D-ND)","Kent","S201","Conrad","D","ND"
"Cornyn (R-TX)","John","S287","Cornyn","R","TX"
"Craig (R-ID)","Larry","S215","Craig","R","ID"
"Crapo (R-ID)","Mike","S266","Crapo","R","ID"
"DeMint (R-SC)","James","S302","DeMint","R","SC"
"DeWine (R-OH)","Mike","S240","DeWine","R","OH"
"Dole (R-NC)","Elizabeth","S292","Dole","R","NC"
"Domenici (R-NM)","Pete","S027","Domenici","R","NM"
"Dorgan (D-ND)","Byron","S222","Dorgan","D","ND"
"Enzi (R-WY)","Michael","S254","Enzi","R","WY"
"Frist (R-TN)","Bill","S241","Frist","R","TN"
"Graham (R-SC)","Lindsey","S293","Graham","R","SC"
"Grassley (R-IA)","Charles","S153","Grassley","R","IA"
"Gregg (R-NH)","Judd","S224","Gregg","R","NH"
"Hatch (R-UT)","Orrin","S118","Hatch","R","UT"
"Hutchison (R-TX)","Kay","S235","Hutchison","R","TX"
"Inhofe (R-OK)","Jim","S236","Inhofe","R","OK"
"Inouye (D-HI)","Daniel","S051","Inouye","D","HI"
"Isakson (R-GA)","Johnny","S305","Isakson","R","GA"
"Johnson (D-SD)","Tim","S257","Johnson","D","SD"
"Kohl (D-WI)","Herb","S209","Kohl","D","WI"
"Kyl (R-AZ)","Jon","S243","Kyl","R","AZ"
"Landrieu (D-LA)","Mary","S258","Landrieu","D","LA"
"Lieberman (D-CT)","Joseph","S210","Lieberman","D","CT"
"Lincoln (D-AR)","Blanche","S269","Lincoln","D","AR"
"Lott (R-MS)","Trent","S203","Lott","R","MS"
"Lugar (R-IN)","Richard","S105","Lugar","R","IN"
"Martinez (R-FL)","Mel","S304","Martinez","R","FL"
"McCain (R-AZ)","John","S197","McCain","R","AZ"
"McConnell (R-KY)","Mitch","S174","McConnell","R","KY"
"Murkowski (R-AK)","Lisa","S288","Murkowski","R","AK"
"Nelson (D-FL)","Bill","S282","Nelson","D","FL"
"Nelson (D-NE)","E.","S283","Nelson","D","NE"
"Pryor (D-AR)","Mark","S295","Pryor","D","AR"
"Roberts (R-KS)","Pat","S260","Roberts","R","KS"
"Rockefeller (D-WV)","Jay","S176","Rockefeller","D","WV"
"Salazar (D-CO)","Ken","S297","Salazar","D","CO"
"Santorum (R-PA)","Rick","S244","Santorum","R","PA"
"Sessions (R-AL)","Jeff","S261","Sessions","R","AL"
"Shelby (R-AL)","Richard","S184","Shelby","R","AL"
