"display_name","first_name","id","last_name","party","state"
"Alexander (R-TN)","Lamar","S289","Alexander","R","TN"
"Allard (R-CO)","A.","S250","Allard","R","CO"
"Baucus (D-MT)","Max","S127","Baucus","D","MT"
"Bennett (R-UT)","Robert","S231","Bennett","R","UT"
"Biden (D-DE)","Joseph","S010","Biden","D","DE"
"Bond (R-MO)","Christopher","S200","Bond","R","MO"
"Brownback (R-KS)","Samuel","S249","Brownback","R","KS"
"Burr (R-NC)","Richard","S300","Burr","R","NC"
"Byrd (D-WV)","Robert","S017","Byrd","D","WV"
"Cantwell (D-WA)","Maria","S275","Cantwell","D","WA"
"Carper (D-DE)","Thomas","S277","Carper","D","DE"
"Chambliss (R-GA)","Saxby","S290","Chambliss","R","GA"
"Clinton (D-NY)","Hillary","S278","Clinton","D","NY"
"Coburn (R-OK)","Tom","S301","Coburn","R","OK"
"Cochran (R-MS)","Thad","S136","Cochran","R","MS"
"Coleman (R-MN)","Norm","S291","Coleman","R","MN"
"Collins (R-ME)","Susan","S252","Collins","R","ME"
"Conrad (D-ND)","Kent","S201","Conrad","D","ND"
"Cornyn (R-TX)","John","S287","Cornyn","R","TX"
"Crapo (R-ID)","Mike","S266","Crapo","R","ID"
"Dayton (D-MN)","Mark","S280","Dayton","D","MN"
"DeMint (R-SC)","James","S302","DeMint","R","SC"
"DeWine (R-OH)","Mike","S240","DeWine","R","OH"
"Dodd (D-CT)","Christopher","S150","Dodd","D","CT"
"Dole (R-NC)","Elizabeth","S292","Dole","R","NC"
"Domenici (R-NM)","Pete","S027","Domenici","R","NM"
"Dorgan (D-ND)","Byron","S222","Dorgan","D","ND"
"Durbin (D-IL)","Richard","S253","Durbin","D","IL"
"Enzi (R-WY)","Michael","S254","Enzi","R","WY"
"Feingold (D-WI)","Russ","S230","Feingold","D","WI"
"Graham (R-SC)","Lindsey","S293","Graham","R","SC"
"Grassley (R-IA)","Charles","S153","Grassley","R","IA"
"Gregg (R-NH)","Judd","S224","Gregg","R","NH"
"Hagel (R-NE)","Chuck","S255","Hagel","R","NE"
"Harkin (D-IA)","Tom","S172","Harkin","D","IA"
"Hatch (R-UT)","Orrin","S118","Hatch","R","UT"
"Inouye (D-HI)","Daniel","S051","Inouye","D","HI"
"Isakson (R-GA)","Johnny","S305","Isakson","R","GA"
"Jeffords (I-VT)","James","S204","Jeffords","I","VT"
"Johnson (D-SD)","Tim","S257","Johnson","D","SD"
"Kennedy (D-MA)","Edward","S055","Kennedy","D","MA"
"Kohl (D-WI)","Herb","S209","Kohl","D","WI"
"Lautenberg (D-NJ)","Frank","S166","Lautenberg","D","NJ"
"Leahy (D-VT)","Patrick","S057","Leahy","D","VT"
"Levin (D-MI)","Carl","S131","Levin","D","MI"
"Lieberman (D-CT)","Joseph","S210","Lieberman","D","CT"
"Lincoln (D-AR)","Blanche","S269","Lincoln","D","AR"
"Lott (R-MS)","Trent","S203","Lott","R","MS"
"McConnell (R-KY)","Mitch","S174","McConnell","R","KY"
"Mikulski (D-MD)","Barbara","S182","Mikulski","D","MD"
"Nelson (D-FL)","Bill","S282","Nelson","D","FL"
"Nelson (D-NE)","E.","S283","Nelson","D","NE"
"Obama (D-IL)","Barack","S298","Obama","D","IL"
"Pryor (D-AR)","Mark","S295","Pryor","D","AR"
"Reed (D-RI)","John","S259","Reed","D","RI"
"Reid (D-NV)","Harry","S198","Reid","D","NV"
"Roberts (R-KS)","Pat","S260","Roberts","R","KS"
"Rockefeller (D-WV)","Jay","S176","Rockefeller","D","WV"
"Salazar (D-CO)","Ken","S297","Salazar","D","CO"
"Santorum (R-PA)","Rick","S244","Santorum","R","PA"
"Sarbanes (D-MD)","Paul","S106","Sarbanes","D","MD"
"Schumer (D-NY)","Charles","S270","Schumer","D","NY"
"Sessions (R-AL)","Jeff","S261","Sessions","R","AL"
"Smith (R-OR)","Gordon","S262","Smith","R","OR"
"Snowe (R-ME)","Olympia","S245","Snowe","R","ME"
"Specter (R-PA)","Arlen","S161","Specter","R","PA"
"Stabenow (D-MI)","Debbie","S284","Stabenow","D","MI"
"Stevens (R-AK)","Ted","S090","Stevens","R","AK"
"Sununu (R-NH)","John","S296","Sununu","R","NH"
"Talent (R-MO)","Jim","S286","Talent","R","MO"
"Thune (R-SD)","John","S303","Thune","R","SD"
"Voinovich (R-OH)","George","S271","Voinovich","R","OH"
"Warner (R-VA)","John","S143","Warner","R","VA"
"Wyden (D-OR)","Ron","S247","Wyden","D","OR"
"Akaka (D-HI)","Daniel","S213","Akaka","D","HI"
"Allen (R-VA)","George","S274","Allen","R","VA"
"Bayh (D-IN)","Evan","S264","Bayh","D","IN"
"Bingaman (D-NM)","Jeff","S167","Bingaman","D","NM"
"Bunning (R-KY)","Jim","S265","Bunning","R","KY"
"Burns (R-MT)","Conrad","S211","Burns","R","MT"
"Chafee (R-RI)","Lincoln","S272","Chafee","R","RI"
"Corzine (D-NJ)","Jon","S279","Corzine","D","NJ"
"Craig (R-ID)","Larry","S215","Craig","R","ID"
"Ensign (R-NV)","John","S281","Ensign","R","NV"
"Feinstein (D-CA)","Dianne","S221","Feinstein","D","CA"
"Frist (R-TN)","Bill","S241","Frist","R","TN"
"Hutchison (R-TX)","Kay","S235","Hutchison","R","TX"
"Inhofe (R-OK)","Jim","S236","Inhofe","R","OK"
"Kerry (D-MA)","John","S173","Kerry","D","MA"
"Kyl (R-AZ)","Jon","S243","Kyl","R","AZ"
"Landrieu (D-LA)","Mary","S258","Landrieu","D","LA"
"Lugar (R-IN)","Richard","S105","Lugar","R","IN"
"Martinez (R-FL)","Mel","S304","Martinez","R","FL"
"McCain (R-AZ)","John","S197","McCain","R","AZ"
"Murkowski (R-AK)","Lisa","S288","Murkowski","R","AK"
"Murray (D-WA)","Patty","S229","Murray","D","WA"
"Shelby (R-AL)","Richard","S184","Shelby","R","AL"
"Thomas (R-WY)","Craig","S246","Thomas","R","WY"
"Vitter (R-LA)","David","S299","Vitter","R","LA"
"Boxer (D-CA)","Barbara","S223","Boxer","D","CA"
