"display_name","first_name","id","last_name","party","state"
"Boozman (R-AR)","John","S343","Boozman","R","AR"
"Coburn (R-OK)","Tom","S301","Coburn","R","OK"
"Cornyn (R-TX)","John","S287","Cornyn","R","TX"
"DeMint (R-SC)","James","S302","DeMint","R","SC"
"Inhofe (R-OK)","Jim","S236","Inhofe","R","OK"
"Isakson (R-GA)","Johnny","S305","Isakson","R","GA"
"Johnson (R-WI)","Ron","S345","Johnson","R","WI"
"Lee (R-UT)","Mike","S346","Lee","R","UT"
"Paul (R-KY)","Rand","S348","Paul","R","KY"
"Risch (R-ID)","James","S323","Risch","R","ID"
"Rubio (R-FL)","Marco","S350","Rubio","R","FL"
"Sessions (R-AL)","Jeff","S261","Sessions","R","AL"
"Shelby (R-AL)","Richard","S184","Shelby","R","AL"
"Toomey (R-PA)","Pat","S351","Toomey","R","PA"
"Vitter (R-LA)","David","S299","Vitter","R","LA"
"Wicker (R-MS)","Roger","S318","Wicker","R","MS"
"Chambliss (R-GA)","Saxby","S290","Chambliss","R","GA"
"Graham (R-SC)","Lindsey","S293","Graham","R","SC"
"Hagan (D-NC)","Kay","S320","Hagan","D","NC"
"Hatch (R-UT)","Orrin","S118","Hatch","R","UT"
"Hoeven (R-ND)","John","S344","Hoeven","R","ND"
"Kirk (R-IL)","Mark","S339","Kirk","R","IL"
"Lautenberg (D-NJ)","Frank","S166","Lautenberg","D","NJ"
"Lieberman (ID-CT)","Joe","S210","Lieberman","ID","CT"
"Mikulski (D-MD)","Barbara","S182","Mikulski","D","MD"
"Sanders (I-VT)","Bernard","S313","Sanders","I","VT"
"Akaka (D-HI)","Daniel","S213","Akaka","D","HI"
"Alexander (R-TN)","Lamar","S289","Alexander","R","TN"
"Ayotte (R-NH)","Kelly","S340","Ayotte","R","NH"
"Barrasso (R-WY)","John","S317","Barrasso","R","WY"
"Baucus (D-MT)","Max","S127","Baucus","D","MT"
"Begich (D-AK)","Mark","S319","Begich","D","AK"
"Bennet (D-CO)","Michael","S330","Bennet","D","CO"
"Bingaman (D-NM)","Jeff","S167","Bingaman","D","NM"
"Blumenthal (D-CT)","Richard","S341","Blumenthal","D","CT"
"Blunt (R-MO)","Roy","S342","Blunt","R","MO"
"Boxer (D-CA)","Barbara","S223","Boxer","D","CA"
"Brown (D-OH)","Sherrod","S307","Brown","D","OH"
"Brown (R-MA)","Scott","S335","Brown","R","MA"
"Burr (R-NC)","Richard","S300","Burr","R","NC"
"Cantwell (D-WA)","Maria","S275","Cantwell","D","WA"
"Cardin (D-MD)","Benjamin","S308","Cardin","D","MD"
"Carper (D-DE)","Thomas","S277","Carper","D","DE"
"Casey (D-PA)","Bob","S309","Casey","D","PA"
"Coats (R-IN)","Dan","S212","Coats","R","IN"
"Cochran (R-MS)","Thad","S136","Cochran","R","MS"
"Collins (R-ME)","Susan","S252","Collins","R","ME"
"Conrad (D-ND)","Kent","S201","Conrad","D","ND"
"Coons (D-DE)","Christopher","S337","Coons","D","DE"
"Corker (R-TN)","Bob","S310","Corker","R","TN"
"Crapo (R-ID)","Mike","S266","Crapo","R","ID"
"Durbin (D-IL)","Richard","S253","Durbin","D","IL"
"Enzi (R-WY)","Michael","S254","Enzi","R","WY"
"Feinstein (D-CA)","Dianne","S221","Feinstein","D","CA"
"Franken (D-MN)","Al","S332","Franken","D","MN"
"Gillibrand (D-NY)","Kirsten","S331","Gillibrand","D","NY"
"Grassley (R-IA)","Chuck","S153","Grassley","R","IA"
"Harkin (D-IA)","Tom","S172","Harkin","D","IA"
"Heller (R-NV)","Dean","S352","Heller","R","NV"
"Hutchison (R-TX)","Kay","S235","Hutchison","R","TX"
"Inouye (D-HI)","Daniel","S051","Inouye","D","HI"
"Johanns (R-NE)","Mike","S321","Johanns","R","NE"
"Johnson (D-SD)","Tim","S257","Johnson","D","SD"
"Kerry (D-MA)","John","S173","Kerry","D","MA"
"Klobuchar (D-MN)","Amy","S311","Klobuchar","D","MN"
"Kohl (D-WI)","Herb","S209","Kohl","D","WI"
"Kyl (R-AZ)","Jon","S243","Kyl","R","AZ"
"Landrieu (D-LA)","Mary","S258","Landrieu","D","LA"
"Leahy (D-VT)","Patrick","S057","Leahy","D","VT"
"Levin (D-MI)","Carl","S131","Levin","D","MI"
"Lugar (R-IN)","Richard","S105","Lugar","R","IN"
"Manchin (D-WV)","Joe","S338","Manchin","D","WV"
"McCain (R-AZ)","John","S197","McCain","R","AZ"
"McCaskill (D-MO)","Claire","S312","McCaskill","D","MO"
"McConnell (R-KY)","Mitch","S174","McConnell","R","KY"
"Menendez (D-NJ)","Robert","S306","Menendez","D","NJ"
"Merkley (D-OR)","Jeff","S322","Merkley","D","OR"
"Moran (R-KS)","Jerry","S347","Moran","R","KS"
"Murkowski (R-AK)","Lisa","S288","Murkowski","R","AK"
"Murray (D-WA)","Patty","S229","Murray","D","WA"
"Nelson (D-FL)","Bill","S282","Nelson","D","FL"
"Nelson (D-NE)","E.","S283","Nelson","D","NE"
"Portman (R-OH)","Rob","S349","Portman","R","OH"
"Pryor (D-AR)","Mark","S295","Pryor","D","AR"
"Reed (D-RI)","John","S259","Reed","D","RI"
"Reid (D-NV)","Harry","S198","Reid","D","NV"
"Roberts (R-KS)","Pat","S260","Roberts","R","KS"
"Rockefeller (D-WV)","Jay","S176","Rockefeller","D","WV"
"Schumer (D-NY)","Charles","S270","Schumer","D","NY"
"Shaheen (D-NH)","Jeanne","S324","Shaheen","D","NH"
"Snowe (R-ME)","Olympia","S245","Snowe","R","ME"
"Stabenow (D-MI)","Debbie","S284","Stabenow","D","MI"
"Tester (D-MT)","Jon","S314","Tester","D","MT"
"Thune (R-SD)","John","S303","Thune","R","SD"
"Udall (D-CO)","Mark","S325","Udall","D","CO"
"Udall (D-NM)","Tom","S326","Udall","D","NM"
"Warner (D-VA)","Mark","S327","Warner","D","VA"
"Webb (D-VA)","James","S315","Webb","D","VA"
"Whitehouse (D-RI)","Sheldon","S316","Whitehouse","D","RI"
"Wyden (D-OR)","Ron","S247","Wyden","D","OR"
"Schatz (D-HI)","Brian","S353","Schatz","D","HI"
